player_number,last_name,test_date,jump_height_cm,mrsi,peak_force,time_to_peak_force_ms,mean_force_kg,time_to_takeoff_ms,asym_pct
4,Mandas,2025-10-06,43.1,0.5,2825,270,2200,219,-14.7
5,Vagiannidis,2025-10-06,41.3,0.43,2978,297,2335,225,0.6
6,Tsimikas,2025-10-06,34.4,0.57,3066,317,2264,229,1.2
7,Rota,2025-10-06,44.4,0.46,2575,308,2198,255,0.1
8,Mavropanos,2025-10-06,40.0,0.44,3178,276,1729,220,4.6
9,Koulierakis,2025-10-06,43.1,0.56,3082,287,1839,237,-0.9
10,Hatzidiakos,2025-10-06,40.6,0.59,2716,288,2055,200,-1.3
12,Kiriakopoulos,2025-10-06,44.5,0.53,2805,303,2171,187,1.4
13,Kourbelis,2025-10-06,40.4,0.43,2359,305,2214,247,0.7
14,Zafeiris,2025-10-06,36.7,0.47,2655,314,2171,215,-0.9
15,Siopis,2025-10-06,36.2,0.42,3119,252,1631,218,5.9
17,Bakasetas,2025-10-06,41.3,0.6,2391,288,2220,189,-10.7
18,Mantalos,2025-10-06,35.4,0.55,2745,248,2075,216,-1.5
19,Konstantelias,2025-10-06,34.2,0.45,2575,313,1779,221,-2.6
20,Pelkas,2025-10-06,35.1,0.45,2519,254,1874,240,2.8
21,Karetsas,2025-10-06,32.5,0.43,3176,304,2297,190,-1.8
22,Tzolis,2025-10-06,40.3,0.61,2512,303,1609,220,7.8
23,Masouras,2025-10-06,42.6,0.6,2715,271,2387,253,13.5
24,Pavlidis,2025-10-06,43.0,0.62,2276,317,2251,260,-3.0
25,Ioannidis,2025-10-06,35.2,0.41,2856,249,1807,189,13.5
2,Tzolakis,2025-10-10,41.3,0.52,2449,319,2194,184,-2.2
4,Mandas,2025-10-10,38.4,0.5,3114,281,2030,252,-12.1
5,Vagiannidis,2025-10-10,44.3,0.54,2685,260,2333,204,-2.7
6,Tsimikas,2025-10-10,41.7,0.58,3059,252,2103,220,1.6
7,Rota,2025-10-10,42.9,0.37,2796,246,1971,201,-0.8
8,Mavropanos,2025-10-10,35.4,0.36,3197,291,2062,214,7.9
9,Koulierakis,2025-10-10,32.3,0.35,2633,259,2000,199,2.9
10,Hatzidiakos,2025-10-10,33.3,0.61,2301,283,1831,196,-2.0
11,Retsos,2025-10-10,42.9,0.61,2816,284,1861,250,3.0
12,Kiriakopoulos,2025-10-10,45.8,0.48,2752,266,1779,209,-1.9
13,Kourbelis,2025-10-10,40.5,0.61,2473,257,2206,215,3.2
14,Zafeiris,2025-10-10,40.3,0.4,2725,291,2299,199,-1.8
15,Siopis,2025-10-10,32.3,0.37,2368,279,2109,190,2.9
16,Mouzakitis,2025-10-10,42.5,0.4,2542,254,1830,244,1.0
17,Bakasetas,2025-10-10,42.3,0.54,2676,242,2198,251,-10.1
18,Mantalos,2025-10-10,39.3,0.61,2548,268,1776,238,1.4
19,Konstantelias,2025-10-10,40.3,0.53,2544,298,2201,254,3.2
20,Pelkas,2025-10-10,38.0,0.52,2858,253,2049,223,2.0
21,Karetsas,2025-10-10,39.8,0.36,2275,265,1704,191,-2.2
22,Tzolis,2025-10-10,34.7,0.39,2413,254,2021,246,12.5
23,Masouras,2025-10-10,39.7,0.57,2584,293,1960,205,11.8
24,Pavlidis,2025-10-10,45.8,0.6,3196,292,1640,234,-0.8
25,Ioannidis,2025-10-10,39.1,0.35,2356,276,1909,213,9.9
2,Tzolakis,2025-11-12,36.0,0.36,2993,313,1623,230,-1.5
3,Vlachodimos,2025-11-12,37.1,0.55,3077,297,1611,248,-7.2
4,Mandas,2025-11-12,43.5,0.56,2283,249,1886,253,-13.9
6,Tsimikas,2025-11-12,38.6,0.47,2326,318,1643,239,-0.8
7,Rota,2025-11-12,34.0,0.53,2475,303,1835,249,4.9
8,Mavropanos,2025-11-12,37.3,0.38,3033,258,1644,252,5.9
10,Hatzidiakos,2025-11-12,35.7,0.45,2844,285,1884,234,-0.9
11,Retsos,2025-11-12,33.3,0.45,2973,255,1906,230,-1.1
13,Kourbelis,2025-11-12,41.0,0.45,3101,258,2189,214,1.3
14,Zafeiris,2025-11-12,35.0,0.56,3133,266,2143,244,-2.4
15,Siopis,2025-11-12,33.0,0.49,2599,317,2201,254,3.8
16,Mouzakitis,2025-11-12,33.0,0.42,3027,275,1878,258,-0.5
18,Mantalos,2025-11-12,43.6,0.49,2838,269,2064,241,-3.0
19,Konstantelias,2025-11-12,42.8,0.49,2754,242,2026,190,4.5
20,Pelkas,2025-11-12,36.5,0.51,2348,301,2206,227,-0.4
25,Ioannidis,2025-11-12,36.1,0.42,2777,306,1872,216,12.4
2,Tzolakis,2025-11-16,43.8,0.37,2447,270,2111,185,-5.9
4,Mandas,2025-11-16,36.2,0.47,3167,290,2121,236,-16.1
6,Tsimikas,2025-11-16,40.6,0.54,3017,260,1976,248,-1.1
7,Rota,2025-11-16,36.8,0.56,3030,312,2215,220,0.1
8,Mavropanos,2025-11-16,32.2,0.52,2428,257,2166,200,9.4
9,Koulierakis,2025-11-16,38.5,0.36,2514,261,1692,211,3.4
10,Hatzidiakos,2025-11-16,40.5,0.42,2672,285,1621,219,-5.3
11,Retsos,2025-11-16,33.1,0.42,2259,255,2083,238,-3.2
12,Kiriakopoulos,2025-11-16,42.8,0.45,2701,253,2159,199,-6.9
13,Kourbelis,2025-11-16,45.1,0.47,2724,256,1866,182,-0.1
14,Zafeiris,2025-11-16,45.9,0.53,2403,251,2054,228,-1.0
15,Siopis,2025-11-16,34.7,0.59,2896,278,1754,208,5.0
16,Mouzakitis,2025-11-16,41.8,0.4,2399,303,1941,231,3.9
17,Bakasetas,2025-11-16,39.0,0.41,2725,274,2357,259,-12.6
18,Mantalos,2025-11-16,41.3,0.53,2219,311,2173,224,-1.1
19,Konstantelias,2025-11-16,42.6,0.58,2520,309,1806,254,2.1
20,Pelkas,2025-11-16,45.8,0.5,2479,272,2241,205,-2.8
21,Karetsas,2025-11-16,36.9,0.46,2790,315,1809,181,-3.5
22,Tzolis,2025-11-16,36.2,0.48,2418,285,1777,225,6.3
23,Masouras,2025-11-16,38.5,0.43,2221,247,2313,239,11.6
24,Pavlidis,2025-11-16,42.2,0.52,2604,261,2396,187,-0.8
25,Ioannidis,2025-11-16,43.2,0.6,2371,269,1989,185,14.7
2,Tzolakis,2026-03-24,37.7,0.58,2996,276,1965,216,-4.4
3,Vlachodimos,2026-03-24,45.2,0.44,2238,307,2193,198,-5.1
4,Mandas,2026-03-24,41.9,0.6,2809,285,1892,219,-11.5
5,Vagiannidis,2026-03-24,37.2,0.58,2885,280,1891,181,0.5
6,Tsimikas,2026-03-24,35.1,0.35,2200,256,2122,238,-2.9
7,Rota,2026-03-24,45.9,0.61,2916,251,1969,225,-1.6
8,Mavropanos,2026-03-24,35.7,0.59,2254,260,2258,250,6.3
9,Koulierakis,2026-03-24,42.5,0.47,3033,276,1948,258,0.1
10,Hatzidiakos,2026-03-24,45.4,0.48,2855,278,1985,248,-5.2
11,Retsos,2026-03-24,38.1,0.51,2822,317,2355,257,-3.8
12,Kiriakopoulos,2026-03-24,41.6,0.39,3030,310,2113,245,0.5
13,Kourbelis,2026-03-24,34.2,0.58,2649,297,2257,198,-0.6
14,Zafeiris,2026-03-24,43.5,0.35,2836,301,2286,225,-0.0
15,Siopis,2026-03-24,33.3,0.43,3025,308,2314,207,-0.4
17,Bakasetas,2026-03-24,43.2,0.43,2303,298,1817,196,-14.9
18,Mantalos,2026-03-24,33.8,0.5,2972,312,1733,230,2.7
19,Konstantelias,2026-03-24,37.4,0.53,2847,247,2181,217,0.8
20,Pelkas,2026-03-24,41.3,0.42,2520,302,2101,242,1.4
21,Karetsas,2026-03-24,44.6,0.58,2484,267,2215,214,-3.3
22,Tzolis,2026-03-24,42.0,0.39,2985,264,2112,250,8.7
23,Masouras,2026-03-24,37.3,0.37,3168,266,2217,225,13.2
24,Pavlidis,2026-03-24,33.8,0.41,2812,271,1771,202,1.0
25,Ioannidis,2026-03-24,38.7,0.58,2559,299,2313,216,11.5
2,Tzolakis,2026-03-28,43.0,0.6,2490,318,1653,206,-2.5
3,Vlachodimos,2026-03-28,41.2,0.4,2623,307,2042,235,-3.3
4,Mandas,2026-03-28,45.4,0.5,2753,256,2143,236,-6.9
5,Vagiannidis,2026-03-28,34.2,0.51,2727,253,2350,225,3.2
6,Tsimikas,2026-03-28,32.2,0.37,2290,264,1888,215,-0.9
7,Rota,2026-03-28,44.5,0.43,3143,300,1657,248,-1.0
8,Mavropanos,2026-03-28,34.1,0.49,2293,284,1813,258,2.2
10,Hatzidiakos,2026-03-28,35.2,0.6,2914,311,2307,181,-3.3
11,Retsos,2026-03-28,43.7,0.52,3161,250,2093,212,0.6
12,Kiriakopoulos,2026-03-28,41.1,0.43,2279,246,2321,251,-3.5
13,Kourbelis,2026-03-28,32.0,0.35,2414,259,1784,233,0.8
14,Zafeiris,2026-03-28,40.3,0.56,2497,293,1604,251,-2.6
15,Siopis,2026-03-28,44.5,0.59,3181,281,2067,257,9.6
16,Mouzakitis,2026-03-28,44.6,0.43,2724,317,1676,203,2.3
19,Konstantelias,2026-03-28,33.9,0.42,2860,288,2280,180,0.4
20,Pelkas,2026-03-28,43.4,0.5,2783,242,1756,242,-2.6
21,Karetsas,2026-03-28,45.2,0.55,2691,302,2249,246,2.0
22,Tzolis,2026-03-28,43.0,0.62,2661,319,2099,234,9.6
23,Masouras,2026-03-28,37.3,0.56,2958,296,2010,228,16.6
25,Ioannidis,2026-03-28,38.5,0.43,2730,294,1829,218,16.3
2,Tzolakis,2026-06-01,45.4,0.55,2225,272,2300,196,-4.3
3,Vlachodimos,2026-06-01,45.3,0.48,2696,242,2332,248,-6.6
4,Mandas,2026-06-01,34.8,0.39,2626,271,2017,193,-10.1
5,Vagiannidis,2026-06-01,45.9,0.59,2379,307,1823,239,2.2
6,Tsimikas,2026-06-01,39.2,0.49,2331,317,2370,250,-2.4
7,Rota,2026-06-01,40.7,0.36,2624,252,2356,251,1.4
8,Mavropanos,2026-06-01,36.1,0.39,3026,288,2302,234,3.2
9,Koulierakis,2026-06-01,37.9,0.56,2350,279,2258,255,-4.0
10,Hatzidiakos,2026-06-01,40.3,0.58,2347,296,2068,245,-1.9
11,Retsos,2026-06-01,35.9,0.39,2480,268,1622,218,-2.7
12,Kiriakopoulos,2026-06-01,41.9,0.47,3121,293,1686,191,0.5
13,Kourbelis,2026-06-01,43.8,0.6,2455,315,1804,250,2.2
15,Siopis,2026-06-01,33.6,0.47,2947,250,1964,200,-0.0
16,Mouzakitis,2026-06-01,41.7,0.56,2251,265,1702,189,-2.6
17,Bakasetas,2026-06-01,44.4,0.4,2815,250,1968,255,-13.3
18,Mantalos,2026-06-01,39.6,0.53,2425,270,2010,188,-1.3
19,Konstantelias,2026-06-01,35.0,0.62,2504,250,1622,257,3.0
20,Pelkas,2026-06-01,33.2,0.49,3110,258,2324,210,-0.5
21,Karetsas,2026-06-01,43.4,0.52,2778,308,2349,210,-3.3
22,Tzolis,2026-06-01,42.7,0.39,2392,285,2161,218,8.0
23,Masouras,2026-06-01,35.3,0.41,2221,310,2284,251,14.8
24,Pavlidis,2026-06-01,34.6,0.59,2706,316,2324,208,-1.3
25,Ioannidis,2026-06-01,43.6,0.54,2412,272,2161,256,15.1
2,Tzolakis,2026-06-05,41.3,0.38,2955,318,2209,201,-9.1
3,Vlachodimos,2026-06-05,45.8,0.41,2224,281,1986,234,-5.4
4,Mandas,2026-06-05,42.0,0.37,2553,263,1604,194,-9.4
5,Vagiannidis,2026-06-05,43.6,0.45,3031,279,2264,201,-0.9
6,Tsimikas,2026-06-05,37.3,0.52,2235,250,1736,257,5.6
7,Rota,2026-06-05,44.1,0.37,2472,295,1912,243,-0.4
8,Mavropanos,2026-06-05,42.8,0.59,2331,293,1872,256,6.0
9,Koulierakis,2026-06-05,42.1,0.61,3097,298,2172,198,0.1
11,Retsos,2026-06-05,42.1,0.49,3036,247,1892,200,-1.5
12,Kiriakopoulos,2026-06-05,34.6,0.6,2707,294,1893,190,-3.4
13,Kourbelis,2026-06-05,42.1,0.44,2305,259,2026,257,-0.4
14,Zafeiris,2026-06-05,44.8,0.46,2733,293,2201,242,-3.4
15,Siopis,2026-06-05,37.8,0.42,3178,300,1645,255,7.3
16,Mouzakitis,2026-06-05,37.5,0.52,2233,247,2001,220,2.5
17,Bakasetas,2026-06-05,42.9,0.57,3067,308,2066,240,-13.6
18,Mantalos,2026-06-05,41.4,0.51,2266,288,2324,208,-2.2
19,Konstantelias,2026-06-05,41.7,0.61,2768,266,1970,181,1.8
20,Pelkas,2026-06-05,43.3,0.42,2794,310,2146,249,-2.0
21,Karetsas,2026-06-05,36.3,0.61,2899,274,1971,202,-0.2
22,Tzolis,2026-06-05,34.6,0.54,2640,283,1799,198,8.5
23,Masouras,2026-06-05,37.0,0.41,2590,318,1908,252,14.9
24,Pavlidis,2026-06-05,40.9,0.6,3109,316,1798,248,-4.1
26,Tetteh,2025-11-12,35.0,0.4,2668,319,1894,219,1.3
26,Tetteh,2025-11-16,43.0,0.5,2516,267,2305,185,-1.9
26,Tetteh,2026-03-24,34.4,0.3,2224,265,2194,230,1.7
26,Tetteh,2026-03-28,42.1,0.4,2221,254,2288,248,-1.3
26,Tetteh,2026-06-01,34.6,0.5,3049,247,2251,216,0.6
26,Tetteh,2026-06-05,39.3,0.4,3177,300,1600,250,-2.4
27,Kostoulas,2025-11-12,41.9,0.5,2217,252,1871,265,-11.9
27,Kostoulas,2025-11-16,41.2,0.5,2196,296,2192,231,-15.0
27,Kostoulas,2026-06-01,34.7,0.6,2536,250,1612,253,-14.8
27,Kostoulas,2026-06-05,40.8,0.6,2988,315,2046,228,-11.9
28,Triantis,2025-11-12,33.2,0.4,3037,275,1867,259,-0.3
28,Triantis,2025-11-16,43.7,0.5,2700,264,2456,179,-0.4
28,Triantis,2026-03-24,33.2,0.4,2827,269,1752,205,2.7
28,Triantis,2026-03-28,31.6,0.4,2361,252,1841,219,-2.5
28,Triantis,2026-06-01,45.2,0.4,2833,251,2038,251,1.1
28,Triantis,2026-06-05,42.4,0.6,3001,288,2240,199,-1.8
29,Giannoulis,2026-03-24,36.2,0.6,2920,271,1917,185,-0.8
29,Giannoulis,2026-03-28,35.4,0.6,2931,299,2309,183,2.0
30,Douvikas,2026-03-24,43.4,0.6,2876,275,1892,219,-1.1
30,Douvikas,2026-03-28,34.6,0.5,2730,252,2385,226,-0.7
30,Douvikas,2026-06-01,36.3,0.4,2938,296,2221,228,7.5
30,Douvikas,2026-06-05,42.7,0.5,2833,292,2134,233,1.7
31,Tsiftsis,2026-03-24,42.4,0.6,2823,297,1948,212,10.3
31,Tsiftsis,2026-03-28,33.0,0.4,2320,253,1747,233,11.4
32,Ntoi,2026-06-01,36.6,0.6,2413,253,1570,258,2.2
32,Ntoi,2026-06-05,33.3,0.6,2677,276,1755,197,0.2
33,Androutsos,2026-06-01,43.1,0.5,2775,295,2304,203,-0.3
33,Androutsos,2026-06-05,35.9,0.6,2780,297,1855,199,-2.7
34,Kyziridis,2026-06-01,42.1,0.5,2317,286,2068,254,-1.1
34,Kyziridis,2026-06-05,43.9,0.4,2250,284,2040,245,4.2
